route_code,route_name,passengers
BE_EBBR_FR_LFPG,BRUSSELS airport - PARIS-CHARLES DE GAULLE airport,93214
BE_EBBR_FR_LFRS,BRUSSELS airport - NANTES ATLANTIQUE airport,44934
BE_EBBR_FR_LFSB,BRUSSELS airport - BALE-MULHOUSE airport,53386
BE_EBBR_GH_DGAA,BRUSSELS airport - ACCRA/KOTOKA INTERNATIONAL airport,79101
BE_EBBR_HK_VHHH,BRUSSELS airport - HONG KONG/INTERNATIONAL airport,46406
BE_EBBR_HR_LDZA,BRUSSELS airport - ZAGREB/FRANJO TUDJMAN airport,60041
BE_EBBR_HU_LHBP,BRUSSELS airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,101677
BE_EBBR_IE_EIDW,BRUSSELS airport - DUBLIN airport,220167
BE_EBBR_IL_LLBG,BRUSSELS airport - TEL-AVIV/BEN GURION airport,139010
BE_EBBR_IS_BIKF,BRUSSELS airport - KEFLAVIK airport,53436
BE_EBBR_IT_LIMC,BRUSSELS airport - MILANO/MALPENSA airport,213666
BE_EBBR_IT_LIML,BRUSSELS airport - MILANO/LINATE airport,115156
BE_EBBR_IT_LIPZ,BRUSSELS airport - VENEZIA/TESSERA airport,116576
BE_EBBR_IT_LIRF,BRUSSELS airport - ROMA/FIUMICINO airport,361196
BE_EBBR_IT_LIRN,BRUSSELS airport - NAPOLI/CAPODICHINO airport,40489
BE_EBBR_JP_RJAA,BRUSSELS airport - NARITA INTL airport,61232
BE_EBBR_LV_EVRA,BRUSSELS airport - RIGA airport,48866
BE_EBBR_MA_GMAD,BRUSSELS airport - AGADIR/AL MASSIRA airport,35476
BE_EBBR_MA_GMMN,BRUSSELS airport - CASABLANCA/MOHAMMED V airport,78767
BE_EBBR_MA_GMMX,BRUSSELS airport - MARRAKECH/MENARA airport,65011
BE_EBBR_MA_GMTT,BRUSSELS airport - TANGER/IBN BATOUTA airport,63540
BE_EBBR_MT_LMML,BRUSSELS airport - LUQA airport,50956
BE_EBBR_NL_EHAM,BRUSSELS airport - AMSTERDAM/SCHIPHOL airport,145551
BE_EBBR_NO_ENGM,BRUSSELS airport - OSLO/GARDERMOEN airport,146691
BE_EBBR_PL_EPWA,BRUSSELS airport - WARSZAWA/CHOPINA airport,161045
BE_EBBR_PT_LPFR,BRUSSELS airport - FARO airport,47375
BE_EBBR_PT_LPPR,BRUSSELS airport - PORTO airport,174007
BE_EBBR_PT_LPPT,BRUSSELS airport - LISBOA airport,384026
BE_EBBR_QA_OTHH,BRUSSELS airport - HAMAD INTERNATIONAL airport,84591
BE_EBBR_RO_LROP,BRUSSELS airport - BUCURESTI/HENRI COANDA airport,88452
BE_EBBR_RU_UUEE,BRUSSELS airport - MOSCOW/SHEREMETYEVO airport,143595
BE_EBBR_RW_HRYR,BRUSSELS airport - KIGALI INTERNATIONAL airport,78379
BE_EBBR_SE_ESGG,BRUSSELS airport - GOTEBORG/LANDVETTER airport,101333
BE_EBBR_SE_ESSA,BRUSSELS airport - STOCKHOLM/ARLANDA airport,78045
BE_EBBR_SE_ESSB,BRUSSELS airport - STOCKHOLM/BROMMA airport,107540
BE_EBBR_TH_VTBS,BRUSSELS airport - BANGKOK/SUVARNABHUMI INTL airport,74037
BE_EBBR_TN_DTTJ,BRUSSELS airport - DJERBA/ZARZIS airport,36267
BE_EBBR_TR_LTAI,BRUSSELS airport - ANTALYA (MIL-CIV) airport,182512
BE_EBBR_TR_LTBA,BRUSSELS airport - ISTANBUL/ATATURK airport,48357
BE_EBBR_TR_LTBJ,BRUSSELS airport - IZMIR/ADNAN MENDERES airport,42991
BE_EBBR_TR_LTFE,BRUSSELS airport - MUGLA/MILAS-BODRUM airport,45431
BE_EBBR_UA_UKBB,BRUSSELS airport - KYIV/BORYSPIL airport,78116
BE_EBBR_UG_HUEN,BRUSSELS airport - ENTEBBE (INTL) airport,114
BE_EBBR_UK_EGBB,BRUSSELS airport - BIRMINGHAM airport,67175
BE_EBBR_UK_EGCC,BRUSSELS airport - MANCHESTER airport,128718
BE_EBBR_UK_EGLL,BRUSSELS airport - LONDON HEATHROW airport,344062
BE_EBBR_UK_EGPH,BRUSSELS airport - EDINBURGH airport,73963
BE_EBBR_US_KATL,"BRUSSELS airport - HARTSFIELD - JACKSON ATLANTA INTERNATIONAL, GA. airport",47232
BE_EBBR_US_KEWR,"BRUSSELS airport - NEWARK LIBERTY INTERNATIONAL, NJ. airport",98912
BE_EBBR_US_KIAD,"BRUSSELS airport - WASHINGTON DULLES INTERNATIONAL, DC. airport",120754
BE_EBBR_US_KJFK,"BRUSSELS airport - NEW YORK/JOHN F. KENNEDY INTERNATIONAL, NY. airport",150988
BE_EBBR_US_KORD,"BRUSSELS airport - CHICAGO - O'HARE INTERNATIONAL, IL. airport",70697
BE_EBBR_ZZ_ZZZZ,BRUSSELS airport - Unknown airport,244936
BE_EBCI_BG_LBSF,CHARLEROI/BRUSSELS SOUTH airport - SOFIA airport,84823
BE_EBCI_CZ_LKPR,CHARLEROI/BRUSSELS SOUTH airport - PRAHA/RUZYNE airport,155214
BE_EBCI_DK_EKCH,CHARLEROI/BRUSSELS SOUTH airport - KOBENHAVN/KASTRUP airport,57922
BE_EBCI_EL_LGAV,CHARLEROI/BRUSSELS SOUTH airport - ATHINAI/ELEFTHERIOS VENIZELOS airport,60192
BE_EBCI_EL_LGTS,CHARLEROI/BRUSSELS SOUTH airport - THESSALONIKI/MAKEDONIA airport,45345
BE_EBCI_ES_GCTS,CHARLEROI/BRUSSELS SOUTH airport - TENERIFE SUR/REINA SOFIA airport,67306
BE_EBCI_ES_LEAL,CHARLEROI/BRUSSELS SOUTH airport - ALICANTE airport,99837
BE_EBCI_ES_LEBL,CHARLEROI/BRUSSELS SOUTH airport - BARCELONA/EL PRAT airport,61067
BE_EBCI_ES_LEGE,CHARLEROI/BRUSSELS SOUTH airport - GIRONA airport,40155
BE_EBCI_ES_LEMD,CHARLEROI/BRUSSELS SOUTH airport - ADOLFO SUAREZ MADRID-BARAJAS airport,52986
BE_EBCI_ES_LEMG,CHARLEROI/BRUSSELS SOUTH airport - MALAGA/COSTA DEL SOL airport,72228
BE_EBCI_ES_LEZL,CHARLEROI/BRUSSELS SOUTH airport - SEVILLA airport,63156
BE_EBCI_FR_LFBD,CHARLEROI/BRUSSELS SOUTH airport - BORDEAUX-MERIGNAC airport,41777
BE_EBCI_FR_LFBO,CHARLEROI/BRUSSELS SOUTH airport - TOULOUSE/BLAGNAC airport,58324
BE_EBCI_FR_LFMK,CHARLEROI/BRUSSELS SOUTH airport - CARCASSONNE-SALVAZA airport,51289
BE_EBCI_FR_LFML,CHARLEROI/BRUSSELS SOUTH airport - MARSEILLE-PROVENCE airport,77701
BE_EBCI_FR_LFTW,CHARLEROI/BRUSSELS SOUTH airport - NIMES-GARONS airport,46711
BE_EBCI_HU_LHBP,CHARLEROI/BRUSSELS SOUTH airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,167840
BE_EBCI_IT_LIBD,CHARLEROI/BRUSSELS SOUTH airport - BARI/PALESE airport,37298
BE_EBCI_IT_LIME,CHARLEROI/BRUSSELS SOUTH airport - BERGAMO/ORIO AL SERIO airport,120288
BE_EBCI_IT_LIPE,CHARLEROI/BRUSSELS SOUTH airport - BOLOGNA/BORGO PANIGALE airport,66541
BE_EBCI_IT_LIPH,CHARLEROI/BRUSSELS SOUTH airport - TREVISO/S.ANGELO airport,86992
BE_EBCI_IT_LIRA,CHARLEROI/BRUSSELS SOUTH airport - ROMA/CIAMPINO airport,90240
BE_EBCI_IT_LIRN,CHARLEROI/BRUSSELS SOUTH airport - NAPOLI/CAPODICHINO airport,48749
BE_EBCI_IT_LIRP,CHARLEROI/BRUSSELS SOUTH airport - PISA/S. GIUSTO airport,77926
BE_EBCI_MA_GMFF,CHARLEROI/BRUSSELS SOUTH airport - FES/SAISS airport,40860
BE_EBCI_MA_GMFO,CHARLEROI/BRUSSELS SOUTH airport - OUJDA/ANGADS airport,40547
BE_EBCI_MA_GMME,CHARLEROI/BRUSSELS SOUTH airport - RABAT/SALE airport,41785
BE_EBCI_MA_GMMN,CHARLEROI/BRUSSELS SOUTH airport - CASABLANCA/MOHAMMED V airport,39603
BE_EBCI_MA_GMMW,CHARLEROI/BRUSSELS SOUTH airport - NADOR/EL AROUI airport,47145
BE_EBCI_MA_GMMX,CHARLEROI/BRUSSELS SOUTH airport - MARRAKECH/MENARA airport,40586
BE_EBCI_MA_GMTT,CHARLEROI/BRUSSELS SOUTH airport - TANGER/IBN BATOUTA airport,49017
BE_EBCI_MT_LMML,CHARLEROI/BRUSSELS SOUTH airport - LUQA airport,60796
