ranking,type,route_code,passengers,route_name,origin_airport_code,origin_airport_country,origin_airport_icao,origin_airport_name,destination_airport_code,destination_airport_country,destination_airport_icao,destination_airport_name
3521,domestic,EL_LGSM_EL_LGTS,14306,SAMOS/ARISTARCHOS OF SAMOS airport - THESSALONIKI/MAKEDONIA airport,EL_LGSM,EL,LGSM,SAMOS/ARISTARCHOS OF SAMOS airport,EL_LGTS,EL,LGTS,THESSALONIKI/MAKEDONIA airport
3522,domestic,NO_ENBO_NO_ENMS,14293,BODO airport - MOSJOEN/KJAERSTAD airport,NO_ENBO,NO,ENBO,BODO airport,NO_ENMS,NO,ENMS,MOSJOEN/KJAERSTAD airport
3523,international,HR_LDPL_NO_ENGM,14282,PULA airport - OSLO/GARDERMOEN airport,HR_LDPL,HR,LDPL,PULA airport,NO_ENGM,NO,ENGM,OSLO/GARDERMOEN airport
3524,international,FI_EFTP_HU_LHBP,14254,TAMPERE-PIRKKALA airport - BUDAPEST/LISZT FERENC INTERNATIONAL airport,FI_EFTP,FI,EFTP,TAMPERE-PIRKKALA airport,HU_LHBP,HU,LHBP,BUDAPEST/LISZT FERENC INTERNATIONAL airport
3525,international,FR_LFBH_IE_EIDW,14250,LA ROCHELLE-ILE DE RE airport - DUBLIN airport,FR_LFBH,FR,LFBH,LA ROCHELLE-ILE DE RE airport,IE_EIDW,IE,EIDW,DUBLIN airport
3526,international,EL_LGIR_SK_LZIB,14239,IRAKLION/NIKOS KAZANTZAKIS airport - BRATISLAVA/M.R.STEFANIK airport,EL_LGIR,EL,LGIR,IRAKLION/NIKOS KAZANTZAKIS airport,SK_LZIB,SK,LZIB,BRATISLAVA/M.R.STEFANIK airport
3527,international,MT_LMML_PL_EPPO,14217,LUQA airport - POZNAN/LAWICA airport,MT_LMML,MT,LMML,LUQA airport,PL_EPPO,PL,EPPO,POZNAN/LAWICA airport
3528,international,EL_LGAV_PL_EPPO,14193,ATHINAI/ELEFTHERIOS VENIZELOS airport - POZNAN/LAWICA airport,EL_LGAV,EL,LGAV,ATHINAI/ELEFTHERIOS VENIZELOS airport,PL_EPPO,PL,EPPO,POZNAN/LAWICA airport
3529,international,DE_EDFH_ES_GCTS,14166,FRANKFURT-HAHN airport - TENERIFE SUR/REINA SOFIA airport,DE_EDFH,DE,EDFH,FRANKFURT-HAHN airport,ES_GCTS,ES,GCTS,TENERIFE SUR/REINA SOFIA airport
3530,international,PL_EPMO_PT_LPPT,14122,WARSZAWA/MODLIN airport - LISBOA airport,PL_EPMO,PL,EPMO,WARSZAWA/MODLIN airport,PT_LPPT,PT,LPPT,LISBOA airport
